Time,num_cases
163.5,622635
163.75,622635
164,622635
164.25,622635
164.5,622635
164.75,622635
165,622635
165.25,622635
165.5,622635
165.75,622635
166,622635
166.25,622635
166.5,622635
166.75,622635
167,622635
167.25,622635
167.5,622635
167.75,622635
168,622635
168.25,622635
168.5,622635
168.75,622635
169,622635
169.25,622635
169.5,622635
169.75,622635
170,622635
170.25,622635
170.5,622635
170.75,622635
171,622635
171.25,622635
171.5,622635
171.75,622635
172,622635
172.25,622635
172.5,622635
172.75,622635
173,622635
173.25,622635
173.5,622635
173.75,622635
174,622635
174.25,622635
174.5,622635
174.75,622635
175,622635
175.25,622635
175.5,622635
175.75,622635
176,622635
176.25,622635
176.5,622635
176.75,622635
177,622635
177.25,622635
177.5,622635
177.75,622635
178,622635
178.25,622635
178.5,622635
178.75,622635
179,622635
179.25,622635
179.5,622635
179.75,622635
180,622635
180.25,622635
180.5,622635
180.75,622635
181,622635
181.25,622635
181.5,622635
181.75,622635
182,622635
182.25,622635
182.5,622635
182.75,622635
183,622635
183.25,622635
183.5,622635
183.75,622635
184,622635
184.25,622635
184.5,622635
184.75,622635
185,622635
185.25,622635
185.5,622635
185.75,622635
186,622635
186.25,622635
186.5,622635
186.75,622635
187,622635
187.25,622635
187.5,622635
187.75,622635
188,622635
188.25,622635
188.5,622635
188.75,622635
189,622635
189.25,622635
189.5,622635
189.75,622635
190,622635
190.25,622635
190.5,622635
190.75,622635
191,622635
191.25,622635
191.5,622635
191.75,622635
192,622635
192.25,622635
192.5,622635
192.75,622635
193,622635
193.25,622635
193.5,622635
193.75,622635
194,622635
194.25,622635
194.5,622635
194.75,622635
195,622635
195.25,622635
195.5,622635
195.75,622635
196,622635
196.25,622635
196.5,622635
196.75,622635
197,622635
197.25,622635
197.5,622635
197.75,622635
198,622635
198.25,622635
198.5,622635
198.75,622635
199,622635
199.25,622635
199.5,622635
199.75,622635
200,622635
200.25,622635
200.5,622635
200.75,622635
201,622635
201.25,622635
201.5,622635
201.75,622635
202,622635
202.25,622635
202.5,622635
202.75,622635
203,622635
203.25,622635
203.5,622635
203.75,622635
204,622635
204.25,622635
204.5,622635
204.75,622635
205,622635
205.25,622635
205.5,622635
205.75,622635
206,622635
206.25,622635
206.5,622635
206.75,622635
207,622635
207.25,622635
207.5,622635
207.75,622635
208,622635
208.25,622635
208.5,622635
208.75,622635
209,622635
209.25,622635
209.5,622635
209.75,622635
210,622635
210.25,622635
210.5,622635
210.75,622635
211,622635
211.25,622635
211.5,622635
211.75,622635
212,622635
212.25,622635
212.5,622635
212.75,622635
213,622635
213.25,622635
213.5,622635
213.75,622635
214,622635
214.25,622635
214.5,622635
214.75,622635
215,622635
215.25,622635
215.5,622635
215.75,622635
216,622635
216.25,622635
216.5,622635
216.75,622635
217,622635
217.25,622635
217.5,622635
217.75,622635
218,622635
218.25,622635
218.5,622635
218.75,622635
219,622635
219.25,622635
219.5,622635
219.75,622635
220,622635
220.25,622635
220.5,622635
220.75,622635
221,622635
221.25,622635
221.5,622635
221.75,622635
222,622635
222.25,622635
222.5,622635
222.75,622635
223,622635
223.25,622635
223.5,622635
223.75,622635
224,622635
224.25,622635
224.5,622635
224.75,622635
225,622635
225.25,622635
225.5,622635
225.75,622635
226,622635
226.25,622635
226.5,622635
226.75,622635
227,622635
227.25,622635
227.5,622635
227.75,622635
228,622635
228.25,622635
228.5,622635
228.75,622635
229,622635
229.25,622635
229.5,622635
229.75,622635
230,622635
230.25,622635
230.5,622635
230.75,622635
231,622635
231.25,622635
231.5,622635
231.75,622635
232,622635
232.25,622635
232.5,622635
232.75,622635
233,622635
233.25,622635
233.5,622635
233.75,622635
234,622635
234.25,622635
234.5,622635
234.75,622635
235,622635
235.25,622635
235.5,622635
235.75,622635
236,622635
236.25,622635
236.5,622635
236.75,622635
237,622635
237.25,622635
237.5,622635
237.75,622635
238,622635
238.25,622635
238.5,622635
238.75,622635
239,622635
239.25,622635
239.5,622635
239.75,622635
240,622635
240.25,622635
240.5,622635
240.75,622635
241,622635
241.25,622635
241.5,622635
241.75,622635
242,622635
242.25,622635
242.5,622635
242.75,622635
243,622635
243.25,622635
243.5,622635
243.75,622635
244,622635
244.25,622635
244.5,622635
244.75,622635
245,622635
245.25,622635
245.5,622635
245.75,622635
246,622635
246.25,622635
246.5,622635
246.75,622635
247,622635
247.25,622635
247.5,622635
247.75,622635
248,622635
248.25,622635
248.5,622635
248.75,622635
249,622635
249.25,622635
249.5,622635
249.75,622635
250,622635
250.25,622635
250.5,622635
250.75,622635
251,622635
251.25,622635
251.5,622635
251.75,622635
252,622635
252.25,622635
252.5,622635
252.75,622635
253,622635
253.25,622635
253.5,622635
253.75,622635
254,622635
254.25,622635
254.5,622635
254.75,622635
255,622635
255.25,622635
255.5,622635
255.75,622635
256,622635
256.25,622635
256.5,622635
256.75,622635
257,622635
257.25,622635
257.5,622635
257.75,622635
258,622635
258.25,622635
258.5,622635
258.75,622635
259,622635
259.25,622635
259.5,622635
259.75,622635
260,622635
