wardNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
27,0.0,0.002558822,0.021937215,0.002153155,0.005055233,0.001872309,0.001217001,0.004056669,0.002933283,0.004337515,0.001497847,0.005304874,0.000312051,0.002839668,0.000624103,0.002340386,0.003900643,0.002309181,0.002839668,0.018317419,0.003370155,0.005866567,0.001997129,0.001435437,0.001841103,0.001060975,0.166978718,0.034481683,0.024308806,0.064438619,0.104256381,0.126037571,0.052518255,0.030425014,0.022561318,0.050677152,0.015009674,0.029020783,0.008394183,0.005304874,0.008768645,0.010048056,0.053423204,0.001997129,0.004399925,0.004399925,0.005960182,0.037758223,0.019846471,0.002277975,0.00649067,0.008238158
28,0.0,0.002850808,0.013484773,0.001538531,0.003982081,0.000859767,0.001357527,0.00543011,0.002715055,0.003529571,0.003077062,0.003529571,0.000452509,0.002353048,0.000633513,0.001945789,0.002262546,0.002217295,0.002398299,0.01036246,0.001900538,0.005384859,0.001040771,0.00099552,0.001357527,0.00099552,0.089958822,0.157427938,0.081858908,0.044843658,0.032761663,0.086881759,0.032761663,0.071858455,0.010000453,0.053486583,0.017240599,0.103624598,0.007556903,0.002307797,0.012127246,0.015249559,0.033530929,0.00149328,0.007873659,0.004389339,0.004525092,0.017376352,0.018552876,0.00294131,0.004208335,0.008507172
29,0.0,0.001215362,0.009753281,0.001701507,0.002309188,0.000577297,0.002552261,0.007140253,0.002795333,0.003190326,0.00434492,0.002704181,0.000303841,0.001428051,9.11522e-05,0.001640739,0.002066116,0.001519203,0.00224842,0.007413709,0.001549587,0.005924891,0.001458435,0.001245746,0.00112421,0.001245746,0.055116675,0.088113758,0.171214147,0.029199076,0.019081186,0.050680603,0.021572679,0.076658969,0.007899854,0.105128828,0.026251823,0.093005591,0.009996354,0.001701507,0.035701264,0.023973019,0.032693243,0.001549587,0.011150948,0.007778318,0.00577297,0.015192027,0.023547642,0.002339572,0.007352941,0.009783666
30,0.0,0.004377824,0.025111197,0.00283683,0.009771302,0.00311701,0.001646062,0.003187056,0.002311491,0.002241446,0.001155745,0.008545512,0.001330858,0.003502259,0.000735474,0.004272756,0.005848772,0.005183343,0.003887507,0.023570203,0.003957553,0.010366687,0.001996288,0.002521626,0.003397191,0.001926242,0.108429937,0.036388471,0.024200609,0.19258922,0.032851189,0.076209155,0.023920429,0.076209155,0.015129759,0.025636536,0.009666235,0.027527755,0.008160263,0.004412846,0.009316009,0.007109586,0.123874899,0.000280181,0.003957553,0.004447869,0.00283683,0.016320527,0.018456905,0.001856197,0.007249676,0.006163976
31,6.3597e-05,0.00193971,0.015326889,0.001049351,0.003307047,0.001494531,0.000508776,0.00257568,0.002448486,0.002066904,0.000953956,0.001876113,0.000286187,0.00171712,0.0,0.002384889,0.00130374,0.001907911,0.003116255,0.012147036,0.002130501,0.003275248,0.00085856,0.001399135,0.002289494,0.00130374,0.098861613,0.015326889,0.010684304,0.021082422,0.26186085,0.080863648,0.098511829,0.01421394,0.05065505,0.030017807,0.007345459,0.024325871,0.010525312,0.010875095,0.006614093,0.005755533,0.026678962,0.001271941,0.002893666,0.003052658,0.003466039,0.118290511,0.01767998,0.001494531,0.004865174,0.005055965
32,1.83093e-05,0.001647839,0.010289836,0.001501364,0.002709779,0.001245034,0.001226724,0.002453449,0.004174524,0.005273083,0.001776004,0.003350605,0.00053097,0.001739385,0.000164784,0.001501364,0.001629529,0.001684457,0.001959097,0.010491239,0.001556292,0.004540711,0.001007012,0.000988703,0.001684457,0.000640826,0.058937693,0.032315946,0.016881191,0.027427358,0.037534101,0.309610561,0.105534907,0.021916253,0.015196734,0.022776791,0.007616676,0.090521266,0.019645898,0.004504092,0.006609664,0.012596811,0.028214658,0.000952085,0.007891316,0.009063112,0.006664592,0.031144149,0.047530989,0.004375927,0.003588626,0.005163228
33,0.0,0.000708254,0.008934895,0.000762735,0.001607192,0.000653773,0.000844457,0.001988559,0.003105421,0.003868156,0.001307546,0.002696813,0.000245165,0.00103514,0.000163443,0.000599292,0.001089621,0.001062381,0.000898938,0.004739853,0.001198583,0.002615091,0.000762735,0.000463089,0.000735494,0.000245165,0.049632253,0.01073277,0.008744211,0.019313539,0.092617815,0.147207845,0.219150095,0.014682648,0.044265868,0.020103514,0.007300463,0.036584037,0.023181694,0.011985835,0.003895396,0.007981476,0.019585944,0.000953419,0.004630891,0.007872514,0.006265323,0.14696268,0.043176246,0.003132661,0.003241624,0.004467448
34,0.0,0.012493483,0.031564593,0.008562949,0.007640476,0.001644407,0.001363655,0.003088277,0.001965267,0.001403762,0.002566879,0.01301488,0.002306181,0.007239402,0.000741989,0.003529459,0.005574941,0.003689889,0.004652469,0.024345245,0.003509405,0.048429792,0.005815586,0.002988008,0.002747363,0.002827578,0.029659487,0.035374804,0.04327598,0.064031605,0.012874504,0.032306582,0.010548269,0.253459271,0.005976016,0.036277223,0.012974772,0.030842658,0.004933221,0.001343601,0.050254683,0.007279509,0.094673726,0.001824891,0.003950588,0.002747363,0.002446557,0.006978703,0.011390527,0.001965267,0.025889384,0.01301488
35,0.0,0.001638776,0.012763544,0.000756358,0.0021115,0.001103022,0.000378179,0.001827865,0.001449686,0.001701806,0.001323627,0.002615739,0.000472724,0.000913933,3.15149e-05,0.001260597,0.000756358,0.001764836,0.002332104,0.007847216,0.0021115,0.003435127,0.000535754,0.000472724,0.001953925,0.000819388,0.056947465,0.009328417,0.005294507,0.018751379,0.085247865,0.0587123,0.076455202,0.013929596,0.271091362,0.018782894,0.00601935,0.023037408,0.006996313,0.073681888,0.0021115,0.007311462,0.025873751,0.000787873,0.003687246,0.002741798,0.003529671,0.15199647,0.015347767,0.002647253,0.004380574,0.002930888
36,0.0,0.00205732,0.009451449,0.001201801,0.001853625,0.000916628,0.003198012,0.014686412,0.00368688,0.004196118,0.009125537,0.002118428,0.000611085,0.001466604,0.000285173,0.001099953,0.002546188,0.00124254,0.002301754,0.007862628,0.001670299,0.006253437,0.003849836,0.001283279,0.001161062,0.000875889,0.032163445,0.027661785,0.071945084,0.01431976,0.012914265,0.030574624,0.01558267,0.039781639,0.00533681,0.284521215,0.084187155,0.044486994,0.005703461,0.001894364,0.063776913,0.04383517,0.022080541,0.009879209,0.017558511,0.009084798,0.005846047,0.007210804,0.014279021,0.001812886,0.018169596,0.030391298
