Time,num_recovered
192,92384
192.25,92384
192.5,92384
192.75,92384
193,92384
193.25,92384
193.5,92384
193.75,92384
194,92384
194.25,92384
194.5,92384
194.75,92384
195,92384
195.25,92384
195.5,92384
195.75,92384
196,92384
196.25,92384
196.5,92384
196.75,92384
197,92384
197.25,92384
197.5,92384
197.75,92384
198,92384
198.25,92384
198.5,92384
198.75,92384
199,92384
199.25,92384
199.5,92384
199.75,92384
200,92384
200.25,92384
200.5,92384
200.75,92384
201,92384
201.25,92384
201.5,92384
201.75,92384
202,92384
202.25,92384
202.5,92384
202.75,92384
203,92384
203.25,92384
203.5,92384
203.75,92384
204,92384
204.25,92384
204.5,92384
204.75,92384
205,92384
205.25,92384
205.5,92384
205.75,92384
206,92384
206.25,92384
206.5,92384
206.75,92384
207,92384
207.25,92384
207.5,92384
207.75,92384
208,92384
208.25,92384
208.5,92384
208.75,92384
209,92384
209.25,92384
209.5,92384
209.75,92384
210,92384
210.25,92384
210.5,92384
210.75,92384
211,92384
211.25,92384
211.5,92384
211.75,92384
212,92384
212.25,92384
212.5,92384
212.75,92384
213,92384
213.25,92384
213.5,92384
213.75,92384
214,92384
214.25,92384
214.5,92384
214.75,92384
215,92384
215.25,92384
215.5,92384
215.75,92384
216,92384
216.25,92384
216.5,92384
216.75,92384
217,92384
217.25,92384
217.5,92384
217.75,92384
218,92384
218.25,92384
218.5,92384
218.75,92384
219,92384
219.25,92384
219.5,92384
219.75,92384
220,92384
220.25,92384
220.5,92384
220.75,92384
221,92384
221.25,92384
221.5,92384
221.75,92384
222,92384
222.25,92384
222.5,92384
222.75,92384
223,92384
223.25,92384
223.5,92384
223.75,92384
224,92384
224.25,92384
224.5,92384
224.75,92384
225,92384
225.25,92384
225.5,92384
225.75,92384
226,92384
226.25,92384
226.5,92384
226.75,92384
227,92384
227.25,92384
227.5,92384
227.75,92384
228,92384
228.25,92384
228.5,92384
228.75,92384
229,92384
229.25,92384
229.5,92384
229.75,92384
230,92384
230.25,92384
230.5,92384
230.75,92384
231,92384
231.25,92384
231.5,92384
231.75,92384
232,92384
232.25,92384
232.5,92384
232.75,92384
233,92384
233.25,92384
233.5,92384
233.75,92384
234,92384
234.25,92384
234.5,92384
234.75,92384
235,92384
235.25,92384
235.5,92384
235.75,92384
236,92384
236.25,92384
236.5,92384
236.75,92384
237,92384
237.25,92384
237.5,92384
237.75,92384
238,92384
238.25,92384
238.5,92384
238.75,92384
239,92384
239.25,92384
239.5,92384
239.75,92384
240,92384
240.25,92384
240.5,92384
240.75,92384
241,92384
241.25,92384
241.5,92384
241.75,92384
242,92384
242.25,92384
242.5,92384
242.75,92384
243,92384
243.25,92384
243.5,92384
243.75,92384
244,92384
244.25,92384
244.5,92384
244.75,92384
245,92384
245.25,92384
245.5,92384
245.75,92384
246,92384
246.25,92384
246.5,92384
246.75,92384
247,92384
247.25,92384
247.5,92384
247.75,92384
248,92384
248.25,92384
248.5,92384
248.75,92384
249,92384
249.25,92384
249.5,92384
249.75,92384
250,92384
250.25,92384
250.5,92384
250.75,92384
251,92384
251.25,92384
251.5,92384
251.75,92384
252,92384
252.25,92384
252.5,92384
252.75,92384
253,92384
253.25,92384
253.5,92384
253.75,92384
254,92384
254.25,92384
254.5,92384
254.75,92384
255,92384
255.25,92384
255.5,92384
255.75,92384
256,92384
256.25,92384
256.5,92384
256.75,92384
257,92384
257.25,92384
257.5,92384
257.75,92384
258,92384
258.25,92384
258.5,92384
258.75,92384
259,92384
259.25,92384
259.5,92384
259.75,92384
260,92384
260.25,92384
260.5,92384
260.75,92384
261,92384
261.25,92384
261.5,92384
261.75,92384
262,92384
262.25,92384
262.5,92384
262.75,92384
263,92384
263.25,92384
263.5,92384
263.75,92384
264,92384
264.25,92384
264.5,92384
264.75,92384
265,92384
265.25,92384
265.5,92384
265.75,92384
266,92384
266.25,92384
266.5,92384
266.75,92384
267,92384
267.25,92384
267.5,92384
267.75,92384
268,92384
268.25,92384
268.5,92384
268.75,92384
269,92384
269.25,92384
269.5,92384
269.75,92384
270,92384
270.25,92384
270.5,92384
270.75,92384
271,92384
271.25,92384
271.5,92384
271.75,92384
272,92384
272.25,92384
272.5,92384
272.75,92384
273,92384
273.25,92384
273.5,92384
273.75,92384
274,92384
274.25,92384
274.5,92384
274.75,92384
275,92384
275.25,92384
275.5,92384
275.75,92384
276,92384
276.25,92384
276.5,92384
276.75,92384
277,92384
277.25,92384
277.5,92384
277.75,92384
278,92384
278.25,92384
278.5,92384
278.75,92384
279,92384
279.25,92384
279.5,92384
279.75,92384
280,92384
280.25,92384
280.5,92384
280.75,92384
281,92384
281.25,92384
281.5,92384
281.75,92384
282,92384
282.25,92384
282.5,92384
282.75,92384
283,92384
283.25,92384
283.5,92384
283.75,92384
284,92384
284.25,92384
284.5,92384
284.75,92384
285,92384
285.25,92384
285.5,92384
285.75,92384
286,92384
286.25,92384
286.5,92384
286.75,92384
287,92384
287.25,92384
287.5,92384
287.75,92384
288,92384
288.25,92384
288.5,92384
288.75,92384
289,92384
289.25,92384
289.5,92384
289.75,92384
290,92384
290.25,92384
290.5,92384
290.75,92384
291,92384
291.25,92384
291.5,92384
291.75,92384
292,92384
292.25,92384
292.5,92384
292.75,92384
293,92384
293.25,92384
293.5,92384
293.75,92384
294,92384
294.25,92384
294.5,92384
294.75,92384
295,92384
295.25,92384
295.5,92384
295.75,92384
296,92384
296.25,92384
296.5,92384
296.75,92384
297,92384
297.25,92384
297.5,92384
297.75,92384
298,92384
298.25,92384
298.5,92384
298.75,92384
299,92384
299.25,92384
299.5,92384
299.75,92384
300,92384
300.25,92384
300.5,92384
300.75,92384
301,92384
301.25,92384
301.5,92384
301.75,92384
302,92384
302.25,92384
302.5,92384
302.75,92384
303,92384
303.25,92384
303.5,92384
303.75,92384
304,92384
304.25,92384
304.5,92384
304.75,92384
305,92384
305.25,92384
305.5,92384
305.75,92384
306,92384
306.25,92384
306.5,92384
306.75,92384
307,92384
307.25,92384
307.5,92384
307.75,92384
308,92384
308.25,92384
308.5,92384
308.75,92384
309,92384
309.25,92384
309.5,92384
309.75,92384
310,92384
310.25,92384
310.5,92384
310.75,92384
311,92384
311.25,92384
311.5,92384
311.75,92384
312,92384
312.25,92384
312.5,92384
312.75,92384
313,92384
313.25,92384
313.5,92384
313.75,92384
314,92384
314.25,92384
314.5,92384
314.75,92384
315,92384
315.25,92384
315.5,92384
315.75,92384
316,92384
316.25,92384
316.5,92384
316.75,92384
317,92384
317.25,92384
317.5,92384
317.75,92384
318,92384
318.25,92384
318.5,92384
318.75,92384
319,92384
319.25,92384
319.5,92384
319.75,92384
320,92384
320.25,92384
320.5,92384
320.75,92384
321,92384
321.25,92384
321.5,92384
321.75,92384
322,92384
322.25,92384
322.5,92384
322.75,92384
323,92384
323.25,92384
323.5,92384
323.75,92384
324,92384
324.25,92384
324.5,92384
324.75,92384
325,92384
325.25,92384
325.5,92384
325.75,92384
326,92384
326.25,92384
326.5,92384
326.75,92384
327,92384
327.25,92384
327.5,92384
327.75,92384
328,92384
328.25,92384
328.5,92384
328.75,92384
329,92384
329.25,92384
329.5,92384
329.75,92384
330,92384
330.25,92384
330.5,92384
330.75,92384
331,92384
331.25,92384
331.5,92384
331.75,92384
332,92384
332.25,92384
332.5,92384
332.75,92384
333,92384
333.25,92384
333.5,92384
333.75,92384
334,92384
334.25,92384
334.5,92384
334.75,92384
335,92384
335.25,92384
335.5,92384
335.75,92384
336,92384
336.25,92384
336.5,92384
336.75,92384
337,92384
337.25,92384
337.5,92384
337.75,92384
338,92384
338.25,92384
338.5,92384
338.75,92384
339,92384
339.25,92384
339.5,92384
339.75,92384
340,92384
340.25,92384
340.5,92384
340.75,92384
341,92384
341.25,92384
341.5,92384
341.75,92384
342,92384
342.25,92384
342.5,92384
342.75,92384
343,92384
343.25,92384
343.5,92384
343.75,92384
344,92384
344.25,92384
344.5,92384
344.75,92384
345,92384
345.25,92384
345.5,92384
345.75,92384
346,92384
346.25,92384
346.5,92384
346.75,92384
347,92384
347.25,92384
347.5,92384
347.75,92384
348,92384
348.25,92384
348.5,92384
348.75,92384
349,92384
349.25,92384
349.5,92384
349.75,92384
350,92384
350.25,92384
350.5,92384
350.75,92384
351,92384
351.25,92384
351.5,92384
351.75,92384
352,92384
352.25,92384
352.5,92384
352.75,92384
353,92384
353.25,92384
353.5,92384
353.75,92384
354,92384
354.25,92384
354.5,92384
354.75,92384
355,92384
355.25,92384
355.5,92384
355.75,92384
356,92384
356.25,92384
356.5,92384
356.75,92384
357,92384
357.25,92384
357.5,92384
357.75,92384
358,92384
358.25,92384
358.5,92384
358.75,92384
359,92384
359.25,92384
359.5,92384
359.75,92384
360,92384
360.25,92384
360.5,92384
360.75,92384
361,92384
361.25,92384
361.5,92384
361.75,92384
362,92384
362.25,92384
362.5,92384
362.75,92384
363,92384
363.25,92384
363.5,92384
363.75,92384
364,92384
364.25,92384
364.5,92384
364.75,92384
365,92384
365.25,92384
365.5,92384
365.75,92384
366,92384
366.25,92384
366.5,92384
366.75,92384
367,92384
367.25,92384
367.5,92384
367.75,92384
368,92384
368.25,92384
368.5,92384
368.75,92384
369,92384
369.25,92384
369.5,92384
369.75,92384
370,92384
370.25,92384
370.5,92384
370.75,92384
371,92384
371.25,92384
371.5,92384
371.75,92384
372,92384
372.25,92384
372.5,92384
372.75,92384
373,92384
373.25,92384
373.5,92384
373.75,92384
374,92384
374.25,92384
374.5,92384
374.75,92384
375,92384
375.25,92384
375.5,92384
375.75,92384
376,92384
376.25,92384
376.5,92384
376.75,92384
377,92384
377.25,92384
377.5,92384
377.75,92384
378,92384
378.25,92384
378.5,92384
378.75,92384
379,92384
379.25,92384
379.5,92384
379.75,92384
380,92384
380.25,92384
380.5,92384
380.75,92384
381,92384
381.25,92384
381.5,92384
381.75,92384
382,92384
382.25,92384
382.5,92384
382.75,92384
383,92384
383.25,92384
383.5,92384
383.75,92384
384,92384
384.25,92384
384.5,92384
384.75,92384
385,92384
385.25,92384
385.5,92384
385.75,92384
386,92384
386.25,92384
386.5,92384
386.75,92384
387,92384
387.25,92384
387.5,92384
387.75,92384
388,92384
388.25,92384
388.5,92384
388.75,92384
389,92384
389.25,92384
389.5,92384
389.75,92384
390,92384
390.25,92384
390.5,92384
390.75,92384
391,92384
391.25,92384
391.5,92384
391.75,92384
392,92384
392.25,92384
392.5,92384
392.75,92384
393,92384
393.25,92384
393.5,92384
393.75,92384
394,92384
394.25,92384
394.5,92384
394.75,92384
395,92384
395.25,92384
395.5,92384
395.75,92384
396,92384
396.25,92384
396.5,92384
396.75,92384
397,92384
397.25,92384
397.5,92384
397.75,92384
398,92384
398.25,92384
398.5,92384
398.75,92384
399,92384
399.25,92384
399.5,92384
399.75,92384
400,92384
400.25,92384
400.5,92384
400.75,92384
401,92384
401.25,92384
401.5,92384
401.75,92384
402,92384
402.25,92384
402.5,92384
402.75,92384
403,92384
403.25,92384
403.5,92384
403.75,92384
404,92384
404.25,92384
404.5,92384
404.75,92384
405,92384
405.25,92384
405.5,92384
405.75,92384
406,92384
406.25,92384
406.5,92384
406.75,92384
407,92384
407.25,92384
407.5,92384
407.75,92384
408,92384
408.25,92384
408.5,92384
408.75,92384
409,92384
409.25,92384
409.5,92384
409.75,92384
410,92384
410.25,92384
410.5,92384
410.75,92384
411,92384
411.25,92384
411.5,92384
411.75,92384
412,92384
412.25,92384
412.5,92384
412.75,92384
413,92384
413.25,92384
413.5,92384
413.75,92384
414,92384
414.25,92384
414.5,92384
414.75,92384
415,92384
415.25,92384
415.5,92384
415.75,92384
416,92384
416.25,92384
416.5,92384
416.75,92384
417,92384
417.25,92384
417.5,92384
417.75,92384
418,92384
418.25,92384
418.5,92384
418.75,92384
419,92384
419.25,92384
419.5,92384
419.75,92384
420,92384
420.25,92384
420.5,92384
420.75,92384
421,92384
421.25,92384
421.5,92384
421.75,92384
422,92384
422.25,92384
422.5,92384
422.75,92384
423,92384
423.25,92384
423.5,92384
423.75,92384
424,92384
424.25,92384
424.5,92384
424.75,92384
425,92384
425.25,92384
425.5,92384
425.75,92384
426,92384
426.25,92384
426.5,92384
426.75,92384
427,92384
427.25,92384
427.5,92384
427.75,92384
428,92384
428.25,92384
428.5,92384
428.75,92384
429,92384
429.25,92384
429.5,92384
429.75,92384
430,92384
430.25,92384
430.5,92384
430.75,92384
431,92384
431.25,92384
431.5,92384
431.75,92384
432,92384
432.25,92384
432.5,92384
432.75,92384
433,92384
433.25,92384
433.5,92384
433.75,92384
434,92384
434.25,92384
434.5,92384
434.75,92384
435,92384
435.25,92384
435.5,92384
435.75,92384
436,92384
436.25,92384
436.5,92384
436.75,92384
437,92384
437.25,92384
437.5,92384
437.75,92384
438,92384
438.25,92384
438.5,92384
438.75,92384
439,92384
439.25,92384
439.5,92384
439.75,92384
440,92384
440.25,92384
440.5,92384
440.75,92384
441,92384
441.25,92384
441.5,92384
441.75,92384
442,92384
442.25,92384
442.5,92384
442.75,92384
443,92384
443.25,92384
443.5,92384
443.75,92384
444,92384
444.25,92384
444.5,92384
444.75,92384
445,92384
445.25,92384
445.5,92384
445.75,92384
446,92384
446.25,92384
446.5,92384
446.75,92384
447,92384
447.25,92384
447.5,92384
447.75,92384
448,92384
448.25,92384
448.5,92384
448.75,92384
449,92384
449.25,92384
449.5,92384
449.75,92384
450,92384
450.25,92384
450.5,92384
450.75,92384
451,92384
451.25,92384
451.5,92384
451.75,92384
452,92384
452.25,92384
452.5,92384
452.75,92384
453,92384
453.25,92384
453.5,92384
453.75,92384
454,92384
454.25,92384
454.5,92384
454.75,92384
455,92384
455.25,92384
455.5,92384
455.75,92384
456,92384
456.25,92384
456.5,92384
456.75,92384
457,92384
457.25,92384
457.5,92384
457.75,92384
458,92384
458.25,92384
458.5,92384
458.75,92384
459,92384
459.25,92384
459.5,92384
459.75,92384
460,92384
460.25,92384
460.5,92384
460.75,92384
461,92384
461.25,92384
461.5,92384
461.75,92384
462,92384
462.25,92384
462.5,92384
462.75,92384
463,92384
463.25,92384
463.5,92384
463.75,92384
464,92384
464.25,92384
464.5,92384
464.75,92384
465,92384
465.25,92384
465.5,92384
465.75,92384
466,92384
466.25,92384
466.5,92384
466.75,92384
467,92384
467.25,92384
467.5,92384
467.75,92384
468,92384
468.25,92384
468.5,92384
468.75,92384
469,92384
469.25,92384
469.5,92384
